"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2007","226.86","225.85","227.12","224.79","","0.59%"
"12/06/2007","225.52","224.72","226.12","223.92","","0.37%"
"12/05/2007","224.69","225.84","227.44","223.64","","-0.57%"
"12/04/2007","225.98","228.20","228.39","225.52","","-0.99%"
"12/03/2007","228.25","228.14","228.51","226.48","","-0.20%"
"11/30/2007","228.70","226.54","229.37","226.07","","0.99%"
"11/29/2007","226.45","229.12","229.26","225.69","","-1.19%"
"11/28/2007","229.18","225.71","229.36","223.66","","1.81%"
"11/27/2007","225.10","222.41","225.66","221.87","","1.29%"
"11/26/2007","222.24","223.28","224.88","221.86","","-0.46%"
"11/23/2007","223.27","223.54","224.87","221.23","","-0.33%"
"11/22/2007","224.01","223.89","225.67","223.21","","0.10%"
"11/21/2007","223.79","227.23","227.40","222.41","","-1.49%"
"11/20/2007","227.17","224.99","228.39","224.25","","1.01%"
"11/19/2007","224.90","227.76","228.39","224.51","","-1.26%"
"11/16/2007","227.77","225.51","228.46","223.90","","0.94%"
"11/15/2007","225.64","228.04","229.75","225.08","","-1.37%"
"11/14/2007","228.78","229.69","232.46","228.25","","-0.40%"
"11/13/2007","229.70","224.62","229.76","224.14","","2.13%"
"11/12/2007","224.91","229.89","231.08","224.81","","-2.86%"
"11/09/2007","231.54","237.23","238.11","231.05","","-2.58%"
"11/08/2007","237.67","237.06","238.91","234.98","","0.16%"
"11/07/2007","237.28","239.43","239.70","236.79","","-0.88%"
"11/06/2007","239.39","238.09","239.70","237.72","","0.56%"
"11/05/2007","238.06","239.67","239.81","237.06","","-0.84%"
"11/02/2007","240.08","238.02","240.34","237.58","","0.72%"
"11/01/2007","238.37","239.91","241.41","237.88","","-0.71%"
"10/31/2007","240.08","237.02","240.24","236.90","","1.26%"
"10/30/2007","237.09","236.41","237.75","235.19","","0.19%"
"10/29/2007","236.65","234.26","236.84","234.14","","0.99%"
"10/26/2007","234.33","234.22","235.42","233.59","","0.03%"
"10/25/2007","234.27","233.93","235.16","232.98","","0.13%"
"10/24/2007","233.97","235.40","235.74","232.75","","-0.60%"
"10/23/2007","235.38","232.57","235.88","232.29","","1.31%"
"10/22/2007","232.34","233.99","234.51","230.25","","-1.15%"
"10/19/2007","235.04","236.02","237.06","234.74","","-0.50%"
"10/18/2007","236.23","237.92","238.24","236.04","","-0.64%"
"10/17/2007","237.76","237.58","238.85","235.82","","0.13%"
"10/16/2007","237.46","239.77","240.04","236.59","","-0.97%"
"10/15/2007","239.79","239.02","240.73","238.89","","0.08%"
"10/12/2007","239.60","238.64","239.60","237.35","","0.53%"
"10/11/2007","238.33","239.31","239.92","237.71","","-0.38%"
"10/10/2007","239.24","238.52","240.42","238.40","","0.23%"
"10/09/2007","238.69","239.06","239.20","236.94","","-0.26%"
"10/08/2007","239.32","239.07","239.85","238.53","","0.15%"
"10/05/2007","238.95","237.41","239.03","236.64","","0.58%"
"10/04/2007","237.57","237.11","237.98","236.10","","0.16%"
"10/03/2007","237.18","236.04","237.93","235.84","","0.41%"
"10/02/2007","236.21","236.50","236.84","234.90","","-0.14%"
"10/01/2007","236.53","234.91","237.11","234.60","","0.63%"
"09/28/2007","235.04","234.22","235.31","232.33","","0.32%"
"09/27/2007","234.30","232.75","234.64","232.41","","0.62%"
"09/26/2007","232.85","231.40","233.33","231.17","","0.47%"
"09/25/2007","231.76","232.28","232.43","229.69","","-0.21%"
"09/24/2007","232.25","233.16","233.61","231.69","","-0.43%"
"09/21/2007","233.25","230.34","233.74","230.06","","1.20%"
"09/20/2007","230.48","231.74","232.30","229.43","","-0.68%"
"09/19/2007","232.06","233.22","233.92","231.05","","-0.66%"
"09/18/2007","233.61","229.49","234.31","228.16","","1.82%"
"09/17/2007","229.43","231.13","231.73","228.75","","-0.98%"
"09/14/2007","231.70","231.69","233.36","230.15","","-0.35%"
"09/13/2007","232.52","231.71","234.85","231.39","","0.37%"
"09/12/2007","231.66","232.37","232.58","230.99","","-0.37%"
"09/11/2007","232.51","230.30","232.56","229.53","","0.88%"
"09/10/2007","230.49","228.88","231.53","228.20","","0.15%"
"09/07/2007","230.14","233.49","234.22","229.07","","-1.43%"
"09/06/2007","233.48","232.46","234.03","231.84","","0.33%"
"09/05/2007","232.71","234.08","234.85","231.81","","-0.61%"
"09/04/2007","234.13","234.00","234.47","231.89","","0.09%"
"09/03/2007","233.92","233.42","234.63","233.00","","0.26%"
"08/31/2007","233.32","233.22","235.57","232.67","","-0.07%"
"08/30/2007","233.48","234.43","234.52","231.10","","-0.44%"
"08/29/2007","234.51","228.57","234.57","227.36","","2.60%"
"08/28/2007","228.56","232.74","232.86","228.19","","-1.75%"
"08/27/2007","232.63","234.43","235.57","232.38","","-0.82%"
"08/24/2007","234.55","233.20","234.86","230.81","","0.46%"
"08/23/2007","233.47","229.89","235.02","229.88","","1.53%"
"08/22/2007","229.96","226.38","229.96","225.68","","1.47%"
"08/21/2007","226.63","228.34","229.14","225.32","","-0.73%"
"08/20/2007","228.29","226.55","229.63","224.83","","0.71%"
"08/17/2007","226.67","226.75","229.03","219.27","","0.08%"
"08/16/2007","226.49","230.93","231.72","221.44","","-2.15%"
"08/15/2007","231.47","234.69","234.92","231.36","","-1.39%"
"08/14/2007","234.74","237.60","238.13","234.61","","-1.32%"
"08/13/2007","237.89","239.07","239.75","236.42","","-0.71%"
"08/10/2007","239.60","239.00","240.55","236.25","","0.20%"
"08/09/2007","239.11","243.56","244.10","238.91","","-1.89%"
"08/08/2007","243.71","240.12","244.13","239.79","","1.51%"
"08/07/2007","240.09","241.29","241.57","238.52","","-0.53%"
"08/06/2007","241.37","239.33","241.85","238.85","","0.30%"
"08/03/2007","240.66","242.71","243.00","240.58","","-0.89%"
"08/02/2007","242.82","241.52","243.20","240.09","","0.57%"
"08/01/2007","241.45","240.50","241.90","237.59","","0.52%"
"07/31/2007","240.20","241.20","242.98","240.11","","-0.29%"
"07/30/2007","240.89","238.85","241.49","238.24","","0.35%"
"07/27/2007","240.04","241.95","244.43","239.68","","-0.81%"
"07/26/2007","242.01","247.38","247.81","241.95","","-2.15%"
"07/25/2007","247.33","247.67","248.17","246.24","","-0.14%"
"07/24/2007","247.68","249.14","249.53","247.25","","-0.65%"
"07/23/2007","249.30","249.87","249.99","248.46","","-0.02%"
"07/20/2007","249.35","250.07","251.18","248.54","","-0.30%"
"07/19/2007","250.10","250.09","250.48","249.67","","-0.03%"
"07/18/2007","250.18","250.08","250.59","249.55","","-0.04%"
"07/17/2007","250.27","248.02","250.55","247.95","","0.85%"
"07/16/2007","248.17","247.79","248.71","247.57","","0.04%"
"07/13/2007","248.06","248.30","248.99","247.92","","-0.17%"
"07/12/2007","248.47","248.57","248.82","247.62","","-0.07%"
"07/11/2007","248.65","246.09","248.99","245.03","","0.81%"
"07/10/2007","246.64","248.58","248.80","246.58","","-0.81%"
"07/09/2007","248.65","248.24","248.87","248.10","","0.27%"
"07/06/2007","247.97","247.18","248.23","247.00","","0.25%"
"07/05/2007","247.36","247.23","247.69","246.54","","0.00%"
"07/04/2007","247.37","246.80","247.47","246.52","","0.20%"
"07/03/2007","246.88","246.90","247.67","246.18","","-0.02%"
"07/02/2007","246.92","247.02","247.64","245.99","","-0.23%"
"06/29/2007","247.48","246.60","247.87","246.41","","0.32%"
"06/28/2007","246.69","245.37","246.84","245.31","","0.44%"
"06/27/2007","245.62","246.13","246.26","243.94","","-0.28%"
"06/26/2007","246.30","246.98","247.18","245.16","","-0.35%"
"06/25/2007","247.16","247.30","247.85","246.41","","-0.20%"
"06/22/2007","247.65","246.40","247.97","246.37","","0.41%"
"06/21/2007","246.63","246.06","246.68","245.78","","0.22%"
"06/20/2007","246.08","245.21","246.66","244.63","","0.31%"
"06/19/2007","245.31","245.16","245.60","245.00","","0.04%"
"06/18/2007","245.21","243.95","245.53","243.86","","0.53%"
"06/15/2007","243.92","242.14","244.44","242.00","","0.76%"
"06/14/2007","242.07","241.86","242.49","241.64","","0.00%"
"06/13/2007","242.06","240.11","242.26","239.69","","0.78%"
"06/12/2007","240.18","239.56","240.89","239.51","","0.21%"
"06/11/2007","239.68","239.67","240.00","238.87","","-0.05%"
"06/08/2007","239.81","239.10","240.18","237.58","","0.19%"
"06/07/2007","239.35","241.13","242.16","238.83","","-0.78%"
"06/06/2007","241.22","241.85","242.32","240.86","","-0.31%"
"06/05/2007","241.97","242.32","243.04","241.47","","-0.18%"
"06/04/2007","242.41","241.88","242.68","241.59","","0.19%"
"06/01/2007","241.96","241.04","242.09","240.81","","0.34%"
"05/31/2007","241.13","240.33","241.23","239.83","","0.31%"
"05/30/2007","240.39","241.06","241.15","239.69","","-0.25%"
"05/29/2007","241.00","241.24","241.58","240.44","","-0.16%"
"05/28/2007","241.38","241.54","241.69","241.11","","-0.07%"
"05/25/2007","241.55","241.03","241.86","239.64","","0.29%"
"05/24/2007","240.86","241.50","241.66","240.65","","-0.32%"
